Loc ID,LOCATION,SIG_TYPE,YEAR,CNT_DATE,HOURS,NB_SB_ST,EB_WB_ST,COUNCIL_DISTRICT,PED_VALUE,VEH_VALUE,SB_VALUE,WB_VALUE,NB_VALUE,EB_VALUE,X_COORDINATES,Y_COORDINATES
399,Main & Delaware & 7th,TS-OCS-CBD-ST/CAR,2017,03/09/2017 12:00:00 AM,5,DELAWARE ST/MAIN ST,E 7TH ST,CD4,336,3764,580,928,1759,497,2765150.9,1070098.24
401,Main & Pershing,TS-OCS,2019,07/24/2019 12:00:00 AM,5,MAIN ST,E PERSHING RD,CD4,1154,7892,1721,1885,1984,2302,2764833.39,1062270.06
402,Main & Truman N Dr,TS-OCS-CBD-ST/CAR,2019,09/11/2019 12:00:00 AM,12,MAIN ST,TRUMAN RD ND,CD4,608,8190,1812,3510,2859,0,2765045.11,1066780.53
403,Main & Truman S Dr,TS-OCS-CBD-ST/CAR,2019,09/12/2019 12:00:00 AM,12,MAIN ST,E TRUMAN RD SD,CD4,1038,9812,3164,0,2509,4139,2765035.75,1066541.37
404,Main & Westport,TS,2019,09/19/2019 12:00:00 AM,12,MAIN ST,WESTPORT RD,CD4,192,19253,8604,0,8828,1821,2764236.82,1051822.54
406,Manchester & 63rd,TS,2019,12/10/2019 12:00:00 AM,12,MANCHESTER TFWY,E 63RD TFWY,CD5,16,12658,476,5870,0,6312,2780760.88,1036588.82
413,McGee & 19th,TS,2017,10/18/2017 12:00:00 AM,12,MCGEE ST,E 19TH ST,CD4,278,6571,429,2216,1391,2535,2765939.68,1064558.35
416,McGee & Pershing,TS,2018,11/08/2018 12:00:00 AM,12,MCGEE ST,PERSHING RD,CD4,568,8292,2408,1582,1102,3200,2765852.28,1062262.38
418,McGee & Truman S Dr,TS-CBD,2019,09/19/2019 12:00:00 AM,12,MCGEE ST,E TRUMAN RD_SD (ONE WAY-EB),CD4,191,9157,0,0,1224,7933,2766030.79,1066491.61
419,Meyer & Oak,TS,2017,08/09/2017 12:00:00 AM,12,OAK ST,MEYER BLVD,CD6,145,7435,1430,2142,1369,2494,2764869.72,1035993.64
420,Meyer & Prospect,TS,2018,03/13/2018 12:00:00 AM,12,PROSPECT AVE,MEYER BLVD_N&SD,CD5,236,19792,5436,6033,3455,4868,2772674.57,1034297.35
421,Meyer & Rockhill,TS,2017,02/14/2017 12:00:00 AM,12,ROCKHILL RD,E MEYER BLVD,CD6,66,14125,4868,3341,3869,2047,2766835.41,1035882.6
423,Meyer & Troost,TS,2019,02/06/2019 12:00:00 AM,12,TROOST AVE,E MEYER BLVD,CD4,157,12824,3417,2695,4456,2256,2767498.31,1035843.79
424,Meyer & Wornall,TS,2017,12/20/2017 12:00:00 AM,12,WORNALL RD,W MEYER BLVD,CD4,201,19850,5064,5273,6310,3203,2762234.01,1036140.76
425,Missouri & Woodland,TS,2017,05/03/2017 12:00:00 AM,5,WOODLAND AVE,MISSOURI AVE,CD3,80,1418,2,679,350,387,2771711.83,1071450.38
427,N Barry & N Main,TS,2018,08/21/2018 12:00:00 AM,12,N MAIN ST,NE BARRY RD,CD2,26,10915,319,4679,372,5545,2765912.44,1121382.23
429,N Brighton & NE 48th,TS,2018,02/07/2018 12:00:00 AM,5,N BRIGHTON AVE,NE 48TH ST,CD1,4,6764,2945,1661,2123,35,2782670.21,1097483.96
430,N Brighton & NE Parvin Rd,TS,2019,09/17/2019 12:00:00 AM,12,N BRIGHTON AVE,NE PARVIN RD,CD1,20,8720,3309,3093,1166,1152,2782630.83,1092487.34
432,N Chouteau & NE 46th,TS,2012,01/07/2020 12:00:00 AM,12,N CHOUTEAU TFWY,NE 46TH ST,CD1,13,7619,3558,1046,2698,317,2777496.71,1096227.39
439,N Oak & NE 50th Ter,TS,2017,05/31/2017 12:00:00 AM,5,N OAK TFWY,NE 51ST ST,CD2,8,8260,1950,285,5499,526,2766999.23,1099465.27
440,N Oak & NE 54th,TS,2019,09/04/2019 12:00:00 AM,5,N OAK TFWY,NE 54TH ST,CD2,33,8385,4119,35,3590,641,2767020.45,1101474.04
441,N Oak & NE 79th Ter,TS,2018,08/28/2018 12:00:00 AM,12,N OAK TFWY,NE 79TH TERR,CD1&2,61,11436,4670,606,5961,199,2767180.61,1118366.2
442,N Oak & NE 85th Ter,TS,2018,03/06/2018 12:00:00 AM,12,N OAK TFWY,NE 85TH TERR,CD1&2,15,13850,6750,1507,4980,613,2767226.2,1122176.66
443,N Oak & NE 95th Ter,TS,2019,10/10/2019 12:00:00 AM,12,N OAK TFWY,NE 95TH TERR,CD2,24,12954,6478,666,4691,1119,2767248.83,1128169.16
444,N Oak & NE 96th,TS,2018,08/28/2018 12:00:00 AM,5,N OAK TFWY,NE 96TH ST,CD2,7,8023,2722,665,2752,1884,2767286.54,1129112.84
445,N Oak & NE Newmark (101st Pl),TS,2019,04/30/2019 12:00:00 AM,5,N OAK TFWY,NE NEW MARK DR,CD2,19,5806,1936,1003,2624,243,2767309.9,1132649.63
448,N Waukomis & NW 68th,TS,2018,01/24/2018 12:00:00 AM,12,NW WAUKOMIS DR,NW 68TH ST,CD2,10,10706,0,3430,2147,5129,2756030.93,1110916.3
449,N Wheeling & NE 48th,TS,2020,01/21/2020 12:00:00 AM,12,N WHEELING AVE,NE 48TH ST,CD1,30,3473,88,1578,189,1618,2786258.86,1097425.6
450,NE Barry & N Oak,TS,2019,06/04/2019 12:00:00 AM,5,N OAK TFWY,NE BARRY RD,CD1&2,26,10024,3029,1981,2052,2962,2767216.97,1121379.41
